;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_2_4_C;1;1288.23115303693;1878.83618854218;-0.0164882537993654;0.997184634204416;83.7945999992371;"FM";"1";0;0;0;0;0;74.6016999983112;"FM";"1";5;0;0;[9.32952303175248, 12.1852369693823, 13.7637204272682, 19.3328735577513, 9.32952303175248];[71.68, 92.16, 81.92, 215.04, 51.2];512;106.155999998009;"Scratch_PD";"1";0;0;0;0;0;0;184.889600001043
HE_1_5_C;1;1279.62069658264;1904.0172336371;0.0716279932610277;0.987770271240379;110.902399999759;"FM";"1";0;0;0;0;0;35.8187000019825;"FM";"1";1;0;0;15.1789327688082;102.4;102.4;191.581799997948;"Scratch_PD";"1";0;0;0;0;0;0;741.062299999612
HE_2_6_C;1;1282.18538082156;1883.04146262967;0.122552176578734;0.985566020800377;279.534000001149;"FM";"1";0;0;0;0;0;281.264100001863;"FM";"1";1;0;0;15.1789327688082;92.16;92.16;115.656199999648;"Scratch_PD";"1";0;0;0;0;0;0;187.303400001838
HE_2_5_C;1;1291.92695231796;1892.90101330168;0.0625876864107245;0.987277159390828;52.2796000004746;"FM";"1";0;0;0;0;0;98.6998999978823;"FM";"1";1;0;0;18.2428068015862;163.84;163.84;123.205200001394;"Scratch_PD";"1";0;0;0;0;0;0;231.603999996878
HE_1_6_C;1;1266.74847121016;1892.19763416567;0.157987852282413;0.987645393961031;130.923200002144;"FM";"1";0;0;0;0;0;92.8767000004882;"FM";"1";2;0;0;[9.32952303175248, 13.7637204272682];[61.44, 112.64];174.08;289.467200000217;"Scratch_PD";"1";0;0;0;0;0;0;306.706499999564
HE_3_5_C;1;1285.08847905018;1904.06365412109;0.108621671457731;0.993822478285551;25.1835000017309;"FM";"1";0;0;0;0;0;42.3676999998861;"FM";"1";0;0;0;0;0;0;322.578299997986;"Scratch_PD";"1";0;0;0;0;0;0;269.654700001411
HE_4_5_C;1;1300.4660937233;1895.34873024385;0.0799650186536477;0.995250962082707;75.887099999818;"FM";"1";0;0;0;0;0;121.784000002663;"FM";"1";3;0;0;[12.1852369693823, 9.32952303175248, 9.32952303175248];[71.68, 51.2, 51.2];174.08;187.580300000263;"Scratch_PD";"1";0;0;0;0;0;0;163.942099999986
HE_4_6_C;1;1288.33137202073;1887.55522336839;0.194829342386156;0.992493413252873;1045.49179999958;"FM";"1";0;0;0;0;0;90.0332000019262;"FM";"1";2;0;0;[12.1852369693823, 22.740272645683];[71.68, 143.36];215.04;232.020800001919;"Scratch_PD";"1";0;0;0;0;0;0;675.496200001362
HE_3_6_C;1;1276.34563317593;1898.58745907127;0.189046232743031;0.993094299482038;55.2489000001515;"FM";"1";0;0;0;0;0;21.5982999980042;"FM";"1";1;0;0;9.32952303175248;51.2;51.2;146.068199999718;"Scratch_PD";"1";0;0;0;0;0;0;273.901699998532
HE_5_5_C;1;1285.19543356346;1899.00330521241;0.0580049131612851;0.995041092530641;48.2775999989826;"FM";"1";1;0;19.3328735577513;189.44;189.44;28.2469000012497;"FM";"1";2;0;0;[19.3328735577513, 11.3137084989848];[189.44, 61.44];250.88;269.169400002284;"Scratch_PD";"1";0;0;0;0;0;0;154.32189999774
